Total Rain in the last minute (12:29): 28.84 mm
2023-9-19, 14:23, 0, 0.00 mm
2023-9-19, 14:24, 0, 0.00 mm
2023-9-19, 14:26, 11, 3.08 mm
2023-9-19, 14:27, 0, 0.00 mm
2023-9-19, 14:28, 7, 1.96 mm
2023-9-19, 14:29, 1, 0.28 mm
2023-9-19, 14:30, 0, 0.00 mm
2023-9-19, 14:31, 0, 0.00 mm
2023-9-19, 14:32, 0, 0.00 mm
2023-9-19, 14:33, 0, 0.00 mm
2023-9-19, 14:34, 0, 0.00 mm
2023-9-19, 14:35, 0, 0.00 mm
2023-9-19, 14:36, 0, 0.00 mm
2023-9-19, 14:37, 0, 0.00 mm
2023-9-19, 14:38, 0, 0.00 mm
2023-9-19, 14:39, 0, 0.00 mm
2023-9-19, 14:41, 10, 2.80 mm
2023-9-19, 14:42, 0, 0.00 mm
2023-9-19, 14:44, 15, 4.20 mm
2023-9-19, 14:45, 4, 1.12 mm
2023-9-19, 14:46, 0, 0.00 mm
2023-9-19, 14:54, 15, 4.20 mm
2023-9-19, 14:55, 4, 1.12 mm
2023-9-19, 14:57, 0, 0.00 mm
2023-9-19, 15:52, 0, 0.00 mm
2023-9-19, 15:53, 0, 0.00 mm
2023-9-19, 15:54, 0, 0.00 mm
2023-9-19, 15:55, 0, 0.00 mm
2023-9-19, 15:56, 0, 0.00 mm
2023-9-19, 15:57, 0, 0.00 mm
2023-9-19, 15:58, 0, 0.00 mm
2023-9-19, 15:59, 0, 0.00 mm
2023-9-19, 16:0, 0, 0.00 mm
2023-9-19, 16:1, 0, 0.00 mm
2023-9-19, 16:2, 0, 0.00 mm
2023-9-19, 16:3, 0, 0.00 mm
2023-9-19, 16:4, 0, 0.00 mm
2023-9-19, 16:5, 0, 0.00 mm
2023-9-19, 16:6, 0, 0.00 mm
2023-9-19, 16:7, 0, 0.00 mm
2023-9-19, 16:8, 0, 0.00 mm
2023-9-19, 16:9, 0, 0.00 mm
2023-9-19, 16:10, 0, 0.00 mm
2023-9-19, 16:11, 0, 0.00 mm
2023-9-19, 16:12, 0, 0.00 mm
2023-9-19, 16:13, 0, 0.00 mm
2023-9-19, 16:14, 0, 0.00 mm
2023-9-19, 16:15, 0, 0.00 mm
2023-9-19, 16:16, 0, 0.00 mm
2023-9-19, 16:17, 0, 0.00 mm
2023-9-19, 16:18, 0, 0.00 mm
2023-9-19, 16:19, 0, 0.00 mm
2023-9-19, 16:20, 0, 0.00 mm
2023-9-19, 16:21, 0, 0.00 mm
2023-9-19, 16:22, 0, 0.00 mm
2023-9-19, 16:23, 0, 0.00 mm
