26/9/2023 10:20:00,129,329
26/9/2023 10:21:00,122,328
26/9/2023 10:22:00,134,334
26/9/2023 10:23:00,142,336
26/9/2023 10:24:00,145,342
26/9/2023 16:23:00,9,255
26/9/2023 16:24:00,54,286
26/9/2023 16:25:00,69,291
26/9/2023 16:26:00,73,296
26/9/2023 16:27:00,77,300
26/9/2023 16:32:00,105,49
26/9/2023 16:33:00,125,324
26/9/2023 16:34:00,135,325
26/9/2023 16:35:00,139,328
26/9/2023 16:36:00,145,334
26/9/2023 16:37:00,150,336
26/9/2023 16:38:00,156,339
26/9/2023 16:39:00,159,341
26/9/2023 16:40:00,162,343
26/9/2023 16:41:00,170,348
26/9/2023 16:42:00,177,351
26/9/2023 16:43:00,183,354
26/9/2023 16:44:00,192,358
26/9/2023 16:48:00,-126,36
26/9/2023 16:49:00,218,372
26/9/2023 16:50:00,222,376
26/9/2023 16:51:00,226,380
26/9/2023 16:52:00,232,384
