2023/10/25, 15:58:13, 156,116
2023/10/25, 15:59:14, 122,91
2023/10/25, 16:0:16, 123,89
2023/10/25, 16:1:17, 120,88
2023/10/25, 16:2:19, 124,87
2023/10/25, 16:3:21, 123,87
2023/10/25, 16:5:16, 157,113
2023/10/25, 16:7:45, 168,106
2023/10/25, 16:9:51, 163,115
2023/10/25, 16:10:53, 118,89
2023/10/25, 16:11:54, 123,84
2023/10/25, 16:12:56, 121,76
2023/10/25, 16:13:58, 123,79
2023/10/25, 16:15:0, 121,80
2023/10/25, 16:16:2, 124,84
2023/10/25, 16:17:3, 124,81
2023/10/25, 16:18:5, 122,84
2023/10/25, 16:19:7, 125,76
2023/10/25, 16:20:9, 127,79
2023/10/25, 16:21:9, 116,79
2023/10/25, 16:22:9, 119,74
2023/10/25, 16:23:9, 118,78
2023/10/25, 16:24:10, 114,76
2023/10/25, 16:25:10, 114,74
2023/10/25, 16:27:11, 157,110
2023/10/25, 16:28:11, 115,79
2023/10/25, 16:29:11, 120,80
2023/10/25, 16:30:12, 115,79
2023/10/25, 16:31:12, 116,78
2023/10/25, 16:32:12, 115,77
2023/10/25, 16:33:12, 123,77
2023/10/25, 16:34:13, 121,64
2023/10/25, 16:35:13, 115,71
2023/10/25, 16:36:14, 116,65
2023/10/25, 16:27:11, 45,115
2023/10/25, 16:28:12, 36,77
2023/10/25, 16:40:35, 67,110
2023/10/25, 16:41:35, 56,76
2023/10/25, 16:42:36, 58,79
2023/10/25, 16:43:37, 65,77
2023/10/25, 16:44:37, 70,73
2023/10/25, 16:45:38, 73,78
2023/10/25, 16:40:35, 46,104
2023/10/25, 16:41:36, 38,74
2023/10/25, 16:42:37, 43,66
2023/10/25, 16:43:38, 50,67
2023/10/25, 16:44:39, 55,64
2023/10/25, 16:45:39, 59,71
2023/10/25, 16:46:40, 69,73
2023/10/25, 16:47:41, 71,67
2023/10/25, 16:48:42, 71,70
2023/10/25, 16:49:43, 75,67
2023/10/25, 16:50:44, 79,68
2023/10/25, 16:51:45, 84,70
2023/10/25, 16:52:46, 85,73
2023/10/25, 16:53:47, 88,71
2023/10/25, 16:54:49, 89,70
2023/10/25, 16:55:50, 94,77
2023/10/25, 16:56:51, 97,74
2023/10/25, 16:57:52, 97,69
2023/10/25, 16:58:53, 99,66
2023/10/25, 17:15:10, 231,47
2023/10/25, 17:16:11, 140,44
2023/10/25, 17:17:13, 117,39
2023/10/25, 17:18:14, 120,39
2023/10/25, 17:19:15, 117,38
2023/10/25, 17:47:10, 7,4
2023/10/25, 17:48:11, 120,78
2023/10/25, 17:49:13, 118,50
2023/10/25, 17:50:14, 120,24
2023/10/25, 17:51:16, 116,25
2023/10/25, 17:52:17, 120,26
2023/10/25, 17:53:19, 119,25
2023/10/25, 17:54:21, 119,26
2023/10/25, 17:55:22, 118,24
2023/10/25, 17:56:24, 118,24
2023/10/25, 17:57:26, 118,22
2023/10/25, 18:7:14, 102,54
2023/10/26, 17:38:5, 7,1
2023/10/27, 10:22:20, 8,2
2023/10/27, 10:23:21, 120,39
2023/10/27, 10:24:23, 120,28
2023/10/27, 10:25:25, 120,31
2023/10/27, 10:26:27, 116,30
2023/10/27, 10:27:29, 114,33
2023/10/27, 10:28:29, 112,30
2023/10/27, 10:29:29, 110,36
2023/10/27, 10:30:29, 109,36
2023/10/27, 10:31:30, 111,34
2023/10/27, 10:32:30, 111,34
2023/10/27, 10:33:30, 110,32
2023/10/27, 10:34:30, 96,117
