2023-9-29, 15:15, 5, 1.40 mm
2023-9-29, 15:16, 0, 0.00 mm
2023-9-29, 15:17, 0, 0.00 mm
2023-9-29, 15:18, 0, 0.00 mm
2023-9-29, 15:19, 0, 0.00 mm
2023-9-29, 15:20, 0, 0.00 mm
2023-9-29, 15:21, 0, 0.00 mm
2023-10-3, 16:44, 0, 0.00 mm
2023-10-3, 16:46, 0, 0.00 mm
2023-10-3, 16:47, 0, 0.00 mm
2023-10-3, 16:48, 0, 0.00 mm
2023-10-3, 16:49, 0, 0.00 mm
2023-10-3, 16:50, 0, 0.00 mm
2023-10-3, 16:51, 0, 0.00 mm
2023-10-3, 16:52, 0, 0.00 mm
2023-10-3, 16:53, 0, 0.00 mm
2023-10-3, 16:54, 0, 0.00 mm
2023-10-3, 16:55, 0, 0.00 mm
2023-10-3, 16:56, 0, 0.00 mm
2023-10-3, 16:57, 0, 0.00 mm
2023-10-3, 16:58, 0, 0.00 mm
2023-10-3, 16:59, 0, 0.00 mm
2023-10-3, 17:0, 0, 0.00 mm
2023-10-3, 17:1, 0, 0.00 mm
2023-10-3, 17:2, 0, 0.00 mm
2023-10-3, 17:3, 0, 0.00 mm
2023-10-3, 17:4, 0, 0.00 mm
2023-10-3, 17:5, 0, 0.00 mm
2023-10-3, 17:6, 0, 0.00 mm
2023-10-3, 17:7, 0, 0.00 mm
2023-10-3, 17:8, 0, 0.00 mm
2023-10-3, 17:9, 0, 0.00 mm
2023-10-3, 17:10, 0, 0.00 mm
2023-10-3, 17:11, 0, 0.00 mm
2023-10-3, 17:12, 0, 0.00 mm
2023-10-3, 17:13, 0, 0.00 mm
2023-10-3, 17:14, 0, 0.00 mm
2023-10-3, 17:15, 0, 0.00 mm
2023-10-3, 17:16, 0, 0.00 mm
2023-10-3, 17:17, 0, 0.00 mm
2023-10-3, 17:18, 0, 0.00 mm
2023-10-3, 17:19, 0, 0.00 mm
2023-10-3, 17:20, 0, 0.00 mm
2023-10-3, 17:21, 0, 0.00 mm
2023-10-3, 17:22, 0, 0.00 mm
2023-10-3, 17:23, 0, 0.00 mm
2023-10-3, 17:24, 0, 0.00 mm
2023-10-3, 17:25, 0, 0.00 mm
2023-10-3, 17:26, 0, 0.00 mm
2023-10-3, 17:27, 0, 0.00 mm
2023-10-3, 17:28, 0, 0.00 mm
2023-10-3, 17:29, 0, 0.00 mm
2023-10-3, 17:30, 0, 0.00 mm
2023-10-3, 17:31, 6, 1.68 mm
2023-10-3, 17:32, 6, 1.68 mm
2023-10-3, 17:33, 6, 1.68 mm
2023-10-3, 17:34, 2, 0.56 mm
2023-10-3, 17:35, 2, 0.56 mm
