"Time","device_frmpayload_data_rainfall.mean"
2023-08-23 14:41:00,11.8
2023-08-23 14:41:20,
2023-08-23 14:41:40,
2023-08-23 14:42:00,11.4
2023-08-23 14:42:20,
2023-08-23 14:42:40,
2023-08-23 14:43:00,11.4
2023-08-23 14:43:20,
2023-08-23 14:43:40,
2023-08-23 14:44:00,11
2023-08-23 14:44:20,
2023-08-23 14:44:40,
2023-08-23 14:45:00,10.8
2023-08-23 14:45:20,
2023-08-23 14:45:40,
2023-08-23 14:46:00,8
2023-08-23 14:46:20,
2023-08-23 14:46:40,
2023-08-23 14:47:00,2.40
2023-08-23 14:47:20,
2023-08-23 14:47:40,
2023-08-23 14:48:00,0
2023-08-23 14:48:20,
2023-08-23 14:48:40,
2023-08-23 14:49:00,0
2023-08-23 14:49:20,
2023-08-23 14:49:40,
2023-08-23 14:50:00,0
2023-08-23 14:50:20,
2023-08-23 14:50:40,
2023-08-23 14:51:00,0
2023-08-23 14:51:20,
2023-08-23 14:51:40,
2023-08-23 14:52:00,0
2023-08-23 14:52:20,
2023-08-23 14:52:40,
2023-08-23 14:53:00,0
2023-08-23 14:53:20,
2023-08-23 14:53:40,
2023-08-23 14:54:00,0
2023-08-23 14:54:20,
2023-08-23 14:54:40,
2023-08-23 14:55:00,0
2023-08-23 14:55:20,
2023-08-23 14:55:40,
2023-08-23 14:56:00,0
2023-08-23 14:56:20,
2023-08-23 14:56:40,
2023-08-23 14:57:00,0
2023-08-23 14:57:20,
2023-08-23 14:57:40,
2023-08-23 14:58:00,0
2023-08-23 14:58:20,
2023-08-23 14:58:40,
2023-08-23 14:59:00,0
2023-08-23 14:59:20,
2023-08-23 14:59:40,
2023-08-23 15:00:00,0
2023-08-23 15:00:20,
2023-08-23 15:00:40,
2023-08-23 15:01:00,0
2023-08-23 15:01:20,
2023-08-23 15:01:40,
2023-08-23 15:02:00,0
2023-08-23 15:02:20,
2023-08-23 15:02:40,
2023-08-23 15:03:00,0
2023-08-23 15:03:20,
2023-08-23 15:03:40,
2023-08-23 15:04:00,0
2023-08-23 15:04:20,
2023-08-23 15:04:40,
2023-08-23 15:05:00,0
2023-08-23 15:05:20,
2023-08-23 15:05:40,
2023-08-23 15:06:00,0
2023-08-23 15:06:20,
2023-08-23 15:06:40,
2023-08-23 15:07:00,0
2023-08-23 15:07:20,
2023-08-23 15:07:40,
2023-08-23 15:08:00,0
2023-08-23 15:08:20,
2023-08-23 15:08:40,
2023-08-23 15:09:00,0
2023-08-23 15:09:20,
2023-08-23 15:09:40,
2023-08-23 15:10:00,0
2023-08-23 15:10:20,
2023-08-23 15:10:40,
2023-08-23 15:11:00,0
2023-08-23 15:11:20,
2023-08-23 15:11:40,
2023-08-23 15:12:00,0
2023-08-23 15:12:20,
2023-08-23 15:12:40,
2023-08-23 15:13:00,0
2023-08-23 15:13:20,
2023-08-23 15:13:40,
2023-08-23 15:14:00,0
2023-08-23 15:14:20,
2023-08-23 15:14:40,
2023-08-23 15:15:00,0
2023-08-23 15:15:20,
2023-08-23 15:15:40,
2023-08-23 15:16:00,0
2023-08-23 15:16:20,
2023-08-23 15:16:40,
2023-08-23 15:17:00,0
2023-08-23 15:17:20,
2023-08-23 15:17:40,
2023-08-23 15:18:00,0
2023-08-23 15:18:20,
2023-08-23 15:18:40,
2023-08-23 15:19:00,0
2023-08-23 15:19:20,
2023-08-23 15:19:40,
2023-08-23 15:20:00,0
2023-08-23 15:20:20,
2023-08-23 15:20:40,
2023-08-23 15:21:00,0
2023-08-23 15:21:20,
2023-08-23 15:21:40,
2023-08-23 15:22:00,0
2023-08-23 15:22:20,
2023-08-23 15:22:40,
2023-08-23 15:23:00,0
2023-08-23 15:23:20,
2023-08-23 15:23:40,
2023-08-23 15:24:00,0
2023-08-23 15:24:20,
2023-08-23 15:24:40,
2023-08-23 15:25:00,0
2023-08-23 15:25:20,
2023-08-23 15:25:40,
2023-08-23 15:26:00,0
2023-08-23 15:26:20,
